,County,Bank Deposits,State,Year
1,Mecklenburg,34233644000,North Carolina,2015
2,Wake,6951148000,North Carolina,2015
3,Forsyth,2281152000,North Carolina,2015
4,Guilford,1687599000,North Carolina,2015
5,Durham,1257385000,North Carolina,2015
6,Buncombe,1093249000,North Carolina,2015
7,New Hanover,1015433000,North Carolina,2015
8,Iredell,607525000,North Carolina,2015
9,Cabarrus,589440000,North Carolina,2015
10,Orange,485632000,North Carolina,2015
11,Gaston,473808000,North Carolina,2015
12,Alamance,467982000,North Carolina,2015
13,Catawba,452595000,North Carolina,2015
14,Cumberland,432205000,North Carolina,2015
15,Pitt,364592000,North Carolina,2015
16,Watauga,255344000,North Carolina,2015
17,Union,247379000,North Carolina,2015
18,Henderson,241760000,North Carolina,2015
19,Rowan,228309000,North Carolina,2015
20,Wayne,223481000,North Carolina,2015
21,Moore,218287000,North Carolina,2015
22,Randolph,217166000,North Carolina,2015
23,Davidson,215045000,North Carolina,2015
24,Carteret,213578000,North Carolina,2015
25,Surry,208518000,North Carolina,2015
26,Craven,197183000,North Carolina,2015
27,Wilkes,190503000,North Carolina,2015
28,Nash,182857000,North Carolina,2015
29,Wilson,177753000,North Carolina,2015
30,Burke,177723000,North Carolina,2015
31,Pasquotank,154937000,North Carolina,2015
32,Dare,143892000,North Carolina,2015
33,Beaufort,141395000,North Carolina,2015
34,Onslow,138979000,North Carolina,2015
35,Lenoir,138165000,North Carolina,2015
36,Stanly,137237000,North Carolina,2015
37,Rutherford,119280000,North Carolina,2015
38,Haywood,118294000,North Carolina,2015
39,Rockingham,117807000,North Carolina,2015
40,Cleveland,116465000,North Carolina,2015
41,Transylvania,102182000,North Carolina,2015
42,Jackson,99006000,North Carolina,2015
43,Caldwell,93594000,North Carolina,2015
44,Macon,90649000,North Carolina,2015
45,Person,84730000,North Carolina,2015
46,Yancey,75124000,North Carolina,2015
47,Scotland,74203000,North Carolina,2015
48,Madison,66346000,North Carolina,2015
49,Martin,66303000,North Carolina,2015
50,Johnston,64789000,North Carolina,2015
51,Brunswick,61656000,North Carolina,2015
52,Mitchell,58338000,North Carolina,2015
53,Chatham,55705000,North Carolina,2015
54,Lee,53249000,North Carolina,2015
55,Mcdowell,52658000,North Carolina,2015
56,Davie,50683000,North Carolina,2015
57,Robeson,48066000,North Carolina,2015
58,Bladen,47648000,North Carolina,2015
59,Pamlico,45235000,North Carolina,2015
60,Alexander,43018000,North Carolina,2015
61,Avery,41570000,North Carolina,2015
62,Sampson,38524000,North Carolina,2015
63,Yadkin,37655000,North Carolina,2015
64,Hertford,37320000,North Carolina,2015
65,Stokes,36035000,North Carolina,2015
66,Greene,31522000,North Carolina,2015
67,Bertie,23777000,North Carolina,2015
68,Richland,4206224000,South Carolina,2015
69,Charleston,2471857000,South Carolina,2015
70,Greenville,2036014000,South Carolina,2015
71,Beaufort,693254000,South Carolina,2015
72,Lexington,635180000,South Carolina,2015
73,Florence,596312000,South Carolina,2015
74,Horry,584717000,South Carolina,2015
75,York,531197000,South Carolina,2015
76,Spartanburg,471600000,South Carolina,2015
77,Anderson,344117000,South Carolina,2015
78,Pickens,263463000,South Carolina,2015
79,Georgetown,210729000,South Carolina,2015
80,Dorchester,201478000,South Carolina,2015
81,Greenwood,189947000,South Carolina,2015
82,Aiken,189202000,South Carolina,2015
83,Sumter,187351000,South Carolina,2015
84,Oconee,182889000,South Carolina,2015
85,Berkeley,128496000,South Carolina,2015
86,Lancaster,96936000,South Carolina,2015
87,Darlington,93460000,South Carolina,2015
88,Kershaw,82778000,South Carolina,2015
89,Newberry,70435000,South Carolina,2015
90,Cherokee,52839000,South Carolina,2015
91,Calhoun,49676000,South Carolina,2015
92,Chesterfield,46900000,South Carolina,2015
93,Marlboro,44779000,South Carolina,2015
94,Edgefield,42307000,South Carolina,2015
95,Union,39433000,South Carolina,2015
96,Laurens,38410000,South Carolina,2015
97,Dillon,33157000,South Carolina,2015
98,Fairfield,30830000,South Carolina,2015
99,Colleton,28816000,South Carolina,2015
100,Bamberg,28426000,South Carolina,2015
101,Marion,25655000,South Carolina,2015
102,Fulton,15772440000,Georgia,2015
103,Cobb,2943595000,Georgia,2015
104,Gwinnett,2703696000,Georgia,2015
105,Dekalb,2556448000,Georgia,2015
106,Chatham,1182267000,Georgia,2015
107,Richmond,965873000,Georgia,2015
108,Forsyth,851343000,Georgia,2015
109,Cherokee,710152000,Georgia,2015
110,Muscogee,614694000,Georgia,2015
111,Hall,543878000,Georgia,2015
112,Columbia,419260000,Georgia,2015
113,Fayette,400491000,Georgia,2015
