County_ST,County,Bank Deposits,State,Year
Mecklenburg_NC,Mecklenburg,34233644000,North Carolina,2015
Wake,Wake,6951148000,North Carolina,2015
Forsyth_NC,Forsyth,2281152000,North Carolina,2015
Guilford,Guilford,1687599000,North Carolina,2015
Durham,Durham,1257385000,North Carolina,2015
Buncombe,Buncombe,1093249000,North Carolina,2015
New Hanover,New Hanover,1015433000,North Carolina,2015
Iredell,Iredell,607525000,North Carolina,2015
Cabarrus,Cabarrus,589440000,North Carolina,2015
Orange_NC,Orange,485632000,North Carolina,2015
Gaston,Gaston,473808000,North Carolina,2015
Alamance,Alamance,467982000,North Carolina,2015
Catawba,Catawba,452595000,North Carolina,2015
Cumberland,Cumberland,432205000,North Carolina,2015
Pitt,Pitt,364592000,North Carolina,2015
Watauga,Watauga,255344000,North Carolina,2015
Union_NC,Union,247379000,North Carolina,2015
Henderson,Henderson,241760000,North Carolina,2015
Rowan,Rowan,228309000,North Carolina,2015
Wayne,Wayne,223481000,North Carolina,2015
Moore,Moore,218287000,North Carolina,2015
Randolph_NC,Randolph,217166000,North Carolina,2015
Davidson_NC,Davidson,215045000,North Carolina,2015
Carteret,Carteret,213578000,North Carolina,2015
Surry,Surry,208518000,North Carolina,2015
Craven,Craven,197183000,North Carolina,2015
Wilkes,Wilkes,190503000,North Carolina,2015
Nash,Nash,182857000,North Carolina,2015
Wilson,Wilson,177753000,North Carolina,2015
Burke,Burke,177723000,North Carolina,2015
Pasquotank,Pasquotank,154937000,North Carolina,2015
Dare,Dare,143892000,North Carolina,2015
Beaufort_NC,Beaufort,141395000,North Carolina,2015
Onslow,Onslow,138979000,North Carolina,2015
Lenoir,Lenoir,138165000,North Carolina,2015
Stanly,Stanly,137237000,North Carolina,2015
Rutherford,Rutherford,119280000,North Carolina,2015
Haywood,Haywood,118294000,North Carolina,2015
Rockingham_NC,Rockingham,117807000,North Carolina,2015
Cleveland,Cleveland,116465000,North Carolina,2015
Transylvania,Transylvania,102182000,North Carolina,2015
Jackson_NC,Jackson,99006000,North Carolina,2015
Caldwell,Caldwell,93594000,North Carolina,2015
Macon,Macon,90649000,North Carolina,2015
Person,Person,84730000,North Carolina,2015
Yancey,Yancey,75124000,North Carolina,2015
Scotland,Scotland,74203000,North Carolina,2015
Madison_NC,Madison,66346000,North Carolina,2015
Martin_NC,Martin,66303000,North Carolina,2015
Johnston,Johnston,64789000,North Carolina,2015
Brunswick,Brunswick,61656000,North Carolina,2015
Mitchell,Mitchell,58338000,North Carolina,2015
Chatham_NC,Chatham,55705000,North Carolina,2015
Lee_NC,Lee,53249000,North Carolina,2015
Mcdowell,Mcdowell,52658000,North Carolina,2015
Davie,Davie,50683000,North Carolina,2015
Robeson,Robeson,48066000,North Carolina,2015
Bladen,Bladen,47648000,North Carolina,2015
Pamlico,Pamlico,45235000,North Carolina,2015
Alexander,Alexander,43018000,North Carolina,2015
Avery,Avery,41570000,North Carolina,2015
Sampson,Sampson,38524000,North Carolina,2015
Yadkin,Yadkin,37655000,North Carolina,2015
Hertford,Hertford,37320000,North Carolina,2015
Stokes,Stokes,36035000,North Carolina,2015
Greene_NC,Greene,31522000,North Carolina,2015
Bertie,Bertie,23777000,North Carolina,2015
Richland,Richland,4206224000,South Carolina,2015
Charleston,Charleston,2471857000,South Carolina,2015
Greenville,Greenville,2036014000,South Carolina,2015
Beaufort_SC,Beaufort,693254000,South Carolina,2015
Lexington,Lexington,635180000,South Carolina,2015
Florence,Florence,596312000,South Carolina,2015
Horry,Horry,584717000,South Carolina,2015
York_SC,York,531197000,South Carolina,2015
Spartanburg,Spartanburg,471600000,South Carolina,2015
Anderson,Anderson,344117000,South Carolina,2015
Pickens,Pickens,263463000,South Carolina,2015
Georgetown,Georgetown,210729000,South Carolina,2015
Dorchester,Dorchester,201478000,South Carolina,2015
Greenwood,Greenwood,189947000,South Carolina,2015
Aiken,Aiken,189202000,South Carolina,2015
Sumter_SC,Sumter,187351000,South Carolina,2015
Oconee_SC,Oconee,182889000,South Carolina,2015
Berkeley,Berkeley,128496000,South Carolina,2015
Lancaster,Lancaster,96936000,South Carolina,2015
Darlington,Darlington,93460000,South Carolina,2015
Kershaw,Kershaw,82778000,South Carolina,2015
Newberry,Newberry,70435000,South Carolina,2015
Cherokee_SC,Cherokee,52839000,South Carolina,2015
Calhoun_SC,Calhoun,49676000,South Carolina,2015
Chesterfield_SC,Chesterfield,46900000,South Carolina,2015
Marlboro,Marlboro,44779000,South Carolina,2015
Edgefield,Edgefield,42307000,South Carolina,2015
Union_SC,Union,39433000,South Carolina,2015
Laurens_SC,Laurens,38410000,South Carolina,2015
Dillon,Dillon,33157000,South Carolina,2015
Fairfield,Fairfield,30830000,South Carolina,2015
Colleton,Colleton,28816000,South Carolina,2015
Bamberg,Bamberg,28426000,South Carolina,2015
Marion_SC,Marion,25655000,South Carolina,2015
Fulton,Fulton,15772440000,Georgia,2015
Cobb,Cobb,2943595000,Georgia,2015
Gwinnett,Gwinnett,2703696000,Georgia,2015
Dekalb,Dekalb,2556448000,Georgia,2015
Chatham_GA,Chatham,1182267000,Georgia,2015
Richmond,Richmond,965873000,Georgia,2015
Forsyth_GA,Forsyth,851343000,Georgia,2015
Cherokee_GA,Cherokee,710152000,Georgia,2015
Muscogee,Muscogee,614694000,Georgia,2015
Hall,Hall,543878000,Georgia,2015
Columbia,Columbia,419260000,Georgia,2015
Fayette,Fayette,400491000,Georgia,2015
Whitfield,Whitfield,359654000,Georgia,2015
Clayton,Clayton,315080000,Georgia,2015
Henry_GA,Henry,291063000,Georgia,2015
Clarke,Clarke,270834000,Georgia,2015
Bibb,Bibb,256553000,Georgia,2015
Bartow,Bartow,178016000,Georgia,2015
Floyd,Floyd,174592000,Georgia,2015
Walton_GA,Walton,174233000,Georgia,2015
Rockdale,Rockdale,173714000,Georgia,2015
Coweta,Coweta,132262000,Georgia,2015
Douglas,Douglas,130379000,Georgia,2015
Paulding,Paulding,106179000,Georgia,2015
Bulloch,Bulloch,102890000,Georgia,2015
Houston_GA,Houston,99843000,Georgia,2015
Sumter_GA,Sumter,96657000,Georgia,2015
Spalding,Spalding,82503000,Georgia,2015
Carroll_GA,Carroll,77466000,Georgia,2015
Catoosa,Catoosa,74415000,Georgia,2015
Newton,Newton,65466000,Georgia,2015
Gordon,Gordon,58022000,Georgia,2015
Glynn,Glynn,54975000,Georgia,2015
Oconee_GA,Oconee,53233000,Georgia,2015
Lumpkin,Lumpkin,51752000,Georgia,2015
Jackson_GA,Jackson,50513000,Georgia,2015
Greene_GA,Greene,49914000,Georgia,2015
Chattahoochee,Chattahoochee,47437000,Georgia,2015
Harris,Harris,45287000,Georgia,2015
Liberty,Liberty,42031000,Georgia,2015
Coffee_GA,Coffee,34192000,Georgia,2015
Barrow,Barrow,29518000,Georgia,2015
Laurens_GA,Laurens,26069000,Georgia,2015
Washington_GA,Washington,23909000,Georgia,2015
Walker_GA,Walker,19446000,Georgia,2015
Murray,Murray,19265000,Georgia,2015
